conversation_id,author,text,timestamp
e621da5de598c9321a1d505ea95e6a2d,97964e7a9e8eb9cf78f2e4d7b2ff34c7,Hola.,03:20
e621da5de598c9321a1d505ea95e6a2d,0158d0d6781fc4d493f243d4caa49747,hi.,03:20
e621da5de598c9321a1d505ea95e6a2d,0158d0d6781fc4d493f243d4caa49747,whats up?,03:20
e621da5de598c9321a1d505ea95e6a2d,97964e7a9e8eb9cf78f2e4d7b2ff34c7,not a ton.,03:20
e621da5de598c9321a1d505ea95e6a2d,97964e7a9e8eb9cf78f2e4d7b2ff34c7,you?,03:20
e621da5de598c9321a1d505ea95e6a2d,0158d0d6781fc4d493f243d4caa49747,same.  being lazy.  M or f?,03:20
e621da5de598c9321a1d505ea95e6a2d,97964e7a9e8eb9cf78f2e4d7b2ff34c7,F.,03:20
e621da5de598c9321a1d505ea95e6a2d,97964e7a9e8eb9cf78f2e4d7b2ff34c7,"Ditto, I&apos;ve done absolutely nothing with my day besides watching stuff on Hulu.",03:21
e621da5de598c9321a1d505ea95e6a2d,0158d0d6781fc4d493f243d4caa49747,M here.  Just got home from weekend trip.  Tired.,03:21
e621da5de598c9321a1d505ea95e6a2d,97964e7a9e8eb9cf78f2e4d7b2ff34c7,"Oh, cool. Family thing?",03:21
e621da5de598c9321a1d505ea95e6a2d,0158d0d6781fc4d493f243d4caa49747,yeah.,03:22
e621da5de598c9321a1d505ea95e6a2d,0158d0d6781fc4d493f243d4caa49747,a &amp; l?,03:22
e621da5de598c9321a1d505ea95e6a2d,97964e7a9e8eb9cf78f2e4d7b2ff34c7,Gotta love those.,03:22
e621da5de598c9321a1d505ea95e6a2d,97964e7a9e8eb9cf78f2e4d7b2ff34c7,"17, Hawaii.",03:22
e621da5de598c9321a1d505ea95e6a2d,97964e7a9e8eb9cf78f2e4d7b2ff34c7,and yourself?,03:23
e621da5de598c9321a1d505ea95e6a2d,0158d0d6781fc4d493f243d4caa49747,Uh oh.  older. 30,03:23
e621da5de598c9321a1d505ea95e6a2d,0158d0d6781fc4d493f243d4caa49747,Been to Hawaii.,03:23
